Generated by opendatacommunities.org,2013-09-06T16:43:01+01:00
http://opendatacommunities.org/data/societal-wellbeing/deprivation/imd-rank-la-2010,"Index of Multiple Deprivation 2010, Local Authority District Rank of Average Rank"

,,http://reference.data.gov.uk/id/year/2010
http://statistics.data.gov.uk/id/statistical-geography/E08000024,E08000024 Sunderland,38
http://statistics.data.gov.uk/id/statistical-geography/E08000025,E08000025 Birmingham,13
http://statistics.data.gov.uk/id/statistical-geography/E08000026,E08000026 Coventry,53
http://statistics.data.gov.uk/id/statistical-geography/E08000027,E08000027 Dudley,113
http://statistics.data.gov.uk/id/statistical-geography/E08000028,E08000028 Sandwell,9
http://statistics.data.gov.uk/id/statistical-geography/E08000029,E08000029 Solihull,212
http://statistics.data.gov.uk/id/statistical-geography/E08000030,E08000030 Walsall,35
http://statistics.data.gov.uk/id/statistical-geography/E08000031,E08000031 Wolverhampton,20
http://statistics.data.gov.uk/id/statistical-geography/E08000032,E08000032 Bradford,33
http://statistics.data.gov.uk/id/statistical-geography/E08000033,E08000033 Calderdale,110
http://statistics.data.gov.uk/id/statistical-geography/E08000034,E08000034 Kirklees,95
http://statistics.data.gov.uk/id/statistical-geography/E08000035,E08000035 Leeds,97
http://statistics.data.gov.uk/id/statistical-geography/E08000036,E08000036 Wakefield,77
http://statistics.data.gov.uk/id/statistical-geography/E09000001,E09000001 City of London,259
http://statistics.data.gov.uk/id/statistical-geography/E09000002,E09000002 Barking and Dagenham,8
http://statistics.data.gov.uk/id/statistical-geography/E09000003,E09000003 Barnet,165
http://statistics.data.gov.uk/id/statistical-geography/E09000004,E09000004 Bexley,180
http://statistics.data.gov.uk/id/statistical-geography/E09000005,E09000005 Brent,24
http://statistics.data.gov.uk/id/statistical-geography/E09000006,E09000006 Bromley,217
http://statistics.data.gov.uk/id/statistical-geography/E09000007,E09000007 Camden,55
http://statistics.data.gov.uk/id/statistical-geography/E09000008,E09000008 Croydon,99
http://statistics.data.gov.uk/id/statistical-geography/E09000009,E09000009 Ealing,61
http://statistics.data.gov.uk/id/statistical-geography/E09000010,E09000010 Enfield,63
http://statistics.data.gov.uk/id/statistical-geography/E09000011,E09000011 Greenwich,19
http://statistics.data.gov.uk/id/statistical-geography/E09000012,E09000012 Hackney,1
http://statistics.data.gov.uk/id/statistical-geography/E09000013,E09000013 Hammersmith and Fulham,31
http://statistics.data.gov.uk/id/statistical-geography/E09000014,E09000014 Haringey,11
http://statistics.data.gov.uk/id/statistical-geography/E09000015,E09000015 Harrow,184
http://statistics.data.gov.uk/id/statistical-geography/E09000016,E09000016 Havering,177
http://statistics.data.gov.uk/id/statistical-geography/E09000017,E09000017 Hillingdon,130
http://statistics.data.gov.uk/id/statistical-geography/E09000018,E09000018 Hounslow,92
http://statistics.data.gov.uk/id/statistical-geography/E09000019,E09000019 Islington,6
http://statistics.data.gov.uk/id/statistical-geography/E09000020,E09000020 Kensington and Chelsea,98
http://statistics.data.gov.uk/id/statistical-geography/E09000021,E09000021 Kingston upon Thames,252
http://statistics.data.gov.uk/id/statistical-geography/E09000022,E09000022 Lambeth,14
http://statistics.data.gov.uk/id/statistical-geography/E09000023,E09000023 Lewisham,16
http://statistics.data.gov.uk/id/statistical-geography/E09000024,E09000024 Merton,208
http://statistics.data.gov.uk/id/statistical-geography/E09000025,E09000025 Newham,2
http://statistics.data.gov.uk/id/statistical-geography/E09000026,E09000026 Redbridge,116
http://statistics.data.gov.uk/id/statistical-geography/E09000027,E09000027 Richmond upon Thames,286
