Body name,Body,"Year","School","Places Available","Applications Received by deadline","Places Offered","Looked After","Exceptional","Special Educational Needs","Sibling","Distance","Notes"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Newbury Park Primary School",120,359,120,0,0,0,49,71,"0.977"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Newbury Park Primary School",120,347,123,0,0,0,45,78,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Nightingale Primary School",90,444,91,0,0,0,47,44,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Nightingale Primary School",90,467,90,0,0,0,39,51,"0.802"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Nightingale Primary School",90,176,90,0,0,0,19,71,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Nightingale Primary School",90,192,80,0,0,0,22,58,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Nightingale Primary School",90,237,90,0,0,1,23,66,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Nightingale Primary School",90,380,88,0,0,0,45,43,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Oakdale Infants' School",90,301,90,0,0,0,29,61,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Oakdale Infants' School",90,270,90,0,0,1,40,49,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Oakdale Infants' School",90,252,90,0,0,0,24,66,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Oakdale Infants' School",90,216,90,0,0,0,20,70,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Oakdale Infants' School",90,382,90,1,0,2,23,64,"1.113"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Oakdale Infants' School",90,427,90,0,0,0,40,50,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Parkhill Infants' School",90,291,88,0,0,0,39,49,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Parkhill Infants' School",90,261,90,1,0,2,41,46,"0.84"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Parkhill Infants' School",90,205,90,0,0,1,51,38,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Parkhill Infants' School",90,220,90,0,0,0,32,58,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Parkhill Infants' School",90,232,90,0,0,0,31,59,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Parkhill Infants' School",120,290,119,0,0,1,41,77,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Ray Lodge Primary School",90,61,88,0,0,0,20,68,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Ray Lodge Primary School",90,61,41,0,0,0,25,16,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Ray Lodge Primary School",90,55,43,0,0,0,20,23,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Ray Lodge Primary School",90,63,49,0,0,0,17,32,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Ray Lodge Primary School",90,104,89,0,0,0,21,68,"1.392"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Ray Lodge Primary School",90,78,90,0,0,0,20,70,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Redbridge Primary School",90,267,90,0,0,0,37,53,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Redbridge Primary School",90,328,90,1,0,1,38,50,"0.755"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Redbridge Primary School",90,128,88,0,0,0,28,60,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Redbridge Primary School",90,155,90,0,0,0,39,51,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Redbridge Primary School",90,170,90,0,0,0,37,53,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Redbridge Primary School",90,276,90,1,0,0,34,55,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Roding Primary School",60,116,60,0,0,2,19,39,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Roding Primary School",60,101,60,0,0,7,27,26,"30 additional places agreed after the initial allocations were made on 29 March 2010"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Roding Primary School",60,107,60,0,0,3,21,36,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Roding Primary School",60,105,60,0,0,0,22,38,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Roding Primary School",60,125,60,0,0,3,16,41,"1.202"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Roding Primary School",60,123,58,0,0,1,23,34,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Snaresbrook Primary School",60,357,60,0,0,0,26,34,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Snaresbrook Primary School",60,393,60,0,0,2,18,40,"1.011"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Snaresbrook Primary School",60,267,60,0,1,0,21,38,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Snaresbrook Primary School",60,256,60,0,0,0,26,34,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Snaresbrook Primary School",60,304,60,0,1,0,28,31,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Snaresbrook Primary School",60,325,60,0,0,1,21,38,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","South Park Primary School",90,311,90,0,0,0,48,42,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","South Park Primary School",90,265,90,1,0,0,40,49,""
